resenhas,abandonos,relendo,querem_ler,lendo,leram,favoritos,desejados,trocam,avaliaram
36,0,1,1.005,50,162,12,99,2,142
819,71,2,7.274,426,3.908,549,1.260,10,3.433
781,36,1,7.650,358,3.899,909,1.633,9,3.544
12,1,0,1.005,49,79,12,201,2,67
16,0,0,396,5,211,6,58,2,194
212,28,5,3.944,177,1.388,141,466,4,1.079
138,7,0,2.473,75,756,62,340,5,684
2,0,0,163,1,8,1,7,2,5
4,0,0,379,5,15,2,33,3,20
45,11,1,1.485,78,236,23,247,6,197
276,49,0,1.863,235,1.276,76,281,8,1.127
17,2,0,359,12,71,8,46,3,62
1.391,153,1,9.879,621,7.389,264,1.503,19,6.434
0,1,0,93,9,19,0,11,4,16
145,38,1,1.770,66,512,23,221,3,452
1.391,153,1,9.879,621,7.389,264,1.503,19,6.434
43,1,3,726,24,310,35,92,3,289
153,2,3,3.404,89,971,103,1.044,4,796
8,1,2,1.690,50,40,6,146,1,36
54,4,2,1.680,32,230,20,400,2,191
1.763,435,126,44.709,2.045,61.457,8.094,5.825,207,31.544
1.211,386,56,24.562,1.531,42.776,4.559,3.980,106,23.652
208,6,0,702,39,611,55,153,3,626
29,1,1,607,18,143,15,118,2,120
62,1,0,509,58,373,25,63,2,295
208,6,0,702,39,611,55,153,3,626
1,0,0,34,0,15,2,4,2,14
32,1,0,450,7,428,29,75,0,367
507,20,1,4.586,151,2.322,197,902,4,2.044
9,1,0,1.012,53,64,4,124,1,68
145,18,2,2.143,65,1.961,498,364,3,1.369
2,0,0,216,1,3,2,18,1,11
0,0,0,395,3,8,2,29,2,11
51,2,0,1.748,16,129,15,349,2,169
243,10,1,2.713,104,1.047,86,492,4,936
1.391,153,1,9.879,621,7.389,264,1.503,19,6.434
218,4,6,3.607,154,2.417,221,834,1,1.788
2.201,234,80,32.525,1.357,37.255,5.056,6.393,26,23.745
1.523,279,13,8.282,2.717,8.457,1.478,1.660,10,6.897
537,9,0,4.249,207,2.479,206,872,10,2.193
21,0,0,1.186,28,122,14,205,2,110
9,0,0,173,13,68,7,29,0,60
354,26,1,3.995,285,2.045,99,624,2,1.702
0,2,0,332,12,12,4,55,1,9
354,26,1,3.995,285,2.045,99,624,2,1.702
7,0,0,137,4,68,15,57,1,58
141,5,1,1.717,40,765,43,318,3,654
143,24,0,1.619,99,547,28,276,5,508
0,0,0,3,0,0,0,0,0,0
18,0,0,616,8,123,13,141,2,104
264,6,1,3.329,52,1.282,275,631,2,1.187
143,24,0,1.619,99,547,28,276,5,508
233,40,1,1.401,85,857,20,159,6,811
14,0,0,1.278,12,70,7,273,2,64
258,17,2,5.573,203,1.498,120,747,2,1.250
11,4,0,628,64,14,9,76,2,80
466,5,1,3.131,78,1.771,361,513,8,1.613
81,1,0,3.633,95,380,66,478,2,368
770,36,0,5.333,532,3.411,549,883,5,3.042
1,0,0,413,8,2,2,38,2,12
28,1,0,1.583,44,179,12,196,3,146
2,0,0,239,6,2,2,20,1,19
1,0,0,489,9,3,2,56,2,10
1,0,1,367,3,17,3,111,1,12
206,3,3,2.930,117,1.352,196,475,2,1.075
158,110,3,3.773,102,2.665,457,1.097,55,1.958
7,0,0,294,6,30,3,37,1,24
30,1,1,962,44,176,17,140,1,160
9,1,0,415,0,32,2,61,1,35
0,0,0,196,7,3,1,31,1,5
214,5,1,3.712,187,851,192,587,2,778
54,0,0,899,17,276,8,146,2,282
1,1,0,339,6,1,0,22,0,5
1,0,0,528,10,11,3,100,0,7
8,0,0,651,8,22,3,69,0,23
14,0,0,244,1,73,7,54,1,64
45,1,0,356,33,153,20,96,1,153
3,2,1,349,12,12,5,13,2,11
2,1,0,523,14,10,2,90,0,6
100,0,0,1.887,26,490,54,311,1,464
0,0,0,134,2,4,2,21,1,6
0,1,0,251,3,64,2,25,2,76
72,1,2,2.603,71,359,28,392,2,307
170,15,3,2.461,117,725,60,295,3,636
0,0,0,112,1,2,0,7,0,4
178,11,0,3.785,171,689,14,377,3,613
195,5,0,1.452,150,542,86,153,1,521
306,31,2,5.834,194,2.276,350,1.347,6,1.929
0,0,0,88,5,1,1,7,0,6
728,100,8,12.510,225,12.153,928,2.356,73,8.231
482,62,3,5.088,163,8.280,557,1.355,32,5.953
493,85,4,4.753,143,7.265,532,1.167,29,5.244
129,101,2,3.887,168,1.251,79,756,15,1.017
129,101,2,3.887,168,1.251,79,756,15,1.017
143,17,0,2.552,76,1.063,169,584,6,923
1,0,0,131,1,14,1,33,2,10
617,116,9,11.355,754,10.908,1.175,2.511,20,7.222
187,11,2,2.681,66,1.163,39,429,18,1.033
207,39,0,5.122,189,1.382,245,1.040,7,1.120
189,30,1,3.392,116,1.556,73,704,5,1.298
797,95,4,7.110,465,6.272,298,1.461,15,5.187
0,0,0,2,0,0,0,7,0,0
330,70,6,4.804,224,4.038,477,924,21,2.999
181,74,1,6.190,176,1.775,297,1.530,35,1.474
31,8,0,1.313,89,282,33,117,4,219
79,27,1,1.763,49,645,36,261,6,545
710,189,13,16.780,776,13.237,1.584,2.625,40,7.757
107,49,0,1.674,116,761,62,260,11,649
148,97,6,3.676,402,1.580,98,568,26,1.202
38,3,2,1.257,71,706,60,176,4,498
6,3,0,795,5,20,4,74,2,28
53,1,0,976,14,533,23,116,6,482
21,1,3,760,60,217,34,71,4,171
74,42,0,1.162,29,497,16,145,5,440
3,0,0,80,3,79,10,15,1,62
33,0,0,328,6,657,55,89,2,561
364,162,3,2.743,258,3.566,192,360,41,2.809
5,3,1,356,29,436,19,78,3,222
797,95,4,7.110,465,6.272,298,1.461,15,5.187
2,1,0,141,7,81,5,24,2,64
150,103,9,2.624,304,1.317,111,511,15,1.087
1.397,129,3,15.348,710,8.411,2.058,2.427,12,7.201
224,30,2,3.908,154,2.096,219,716,6,1.773
45,4,0,867,23,300,14,116,4,256
29,3,1,744,7,233,9,63,6,199
0,0,0,61,8,1,0,16,1,9
503,5,0,3.579,54,3.492,532,791,11,3.142
116,23,0,2.428,64,697,76,296,8,604
579,29,6,9.238,339,3.635,859,2.161,3,3.105
243,82,0,5.554,425,1.654,184,1.012,5,1.398
0,0,0,13,0,1,0,7,0,0
10,1,1,1.346,11,99,6,152,3,85
111,36,1,2.043,87,640,132,393,4,567
192,52,0,2.956,68,1.265,112,626,3,1.097
4.165,387,12,25.347,1.735,28.625,5.064,4.410,15,22.538
4,2,0,1.057,13,33,4,121,2,37
16,1,0,730,16,53,9,55,2,56
110,22,0,2.424,66,519,43,516,7,439
160,21,0,2.250,88,1.005,69,399,5,893
279,43,1,4.026,185,1.537,163,701,9,1.402
36,17,1,468,51,799,104,60,8,569
207,39,0,5.122,189,1.382,245,1.040,7,1.120
0,0,0,48,6,12,3,20,0,16
689,69,6,7.871,324,3.651,864,1.542,9,3.150
162,1,1,1.513,7,1.479,200,384,8,1.252
79,17,0,2.437,88,796,72,542,5,598
1,0,0,26,1,8,2,11,2,6
4,0,0,84,5,9,2,16,2,31
174,42,0,1.756,160,1.386,83,321,6,1.128
15,0,0,97,3,89,10,35,1,81
2,0,0,48,0,11,2,19,0,16
61,17,5,1.629,72,1.088,162,385,5,741
6,2,0,424,15,56,11,67,2,46
18,4,1,334,25,356,15,76,2,236
0,1,0,32,0,4,1,11,1,6
0,0,0,49,1,5,2,15,2,13
1,0,0,1,0,12,0,10,0,9
